COORDINATE,GEO,Age group,Sex,Response,Estimates,UOM,SCALAR_FACTOR,VECTOR,VALUE,STATUS
1.1.1.1.1,Canada,"Total, 15 years and over",Both sexes,"Total, job satisfaction",Number of persons,Persons,thousands,v116319003,15167.0,
1.1.1.1.2,Canada,"Total, 15 years and over",Both sexes,"Total, job satisfaction",Percentage of persons,Percent,units ,v116319004,100.0,
1.1.1.1.3,Canada,"Total, 15 years and over",Both sexes,"Total, job satisfaction","Low 95% confidence interval, percent",Percent,units ,v116319005,100.0,
1.1.1.1.4,Canada,"Total, 15 years and over",Both sexes,"Total, job satisfaction","High 95% confidence interval, percent",Percent,units ,v116319006,100.0,
1.1.1.8.1,Canada,"Total, 15 years and over",Both sexes,Very satisfied or satisfied,Number of persons,Persons,thousands,v116747325,12730.0,
1.1.1.8.2,Canada,"Total, 15 years and over",Both sexes,Very satisfied or satisfied,Percentage of persons,Percent,units ,v116747326,83.9,
1.1.1.8.3,Canada,"Total, 15 years and over",Both sexes,Very satisfied or satisfied,"Low 95% confidence interval, percent",Percent,units ,v116747327,82.8,
1.1.1.8.4,Canada,"Total, 15 years and over",Both sexes,Very satisfied or satisfied,"High 95% confidence interval, percent",Percent,units ,v116747328,85.0,
1.1.1.2.1,Canada,"Total, 15 years and over",Both sexes,Very satisfied,Number of persons,Persons,thousands,v116319007,5180.0,
1.1.1.2.2,Canada,"Total, 15 years and over",Both sexes,Very satisfied,Percentage of persons,Percent,units ,v116319008,34.2,
1.1.1.2.3,Canada,"Total, 15 years and over",Both sexes,Very satisfied,"Low 95% confidence interval, percent",Percent,units ,v116319009,32.9,
1.1.1.2.4,Canada,"Total, 15 years and over",Both sexes,Very satisfied,"High 95% confidence interval, percent",Percent,units ,v116319010,35.5,
1.1.1.3.1,Canada,"Total, 15 years and over",Both sexes,Satisfied,Number of persons,Persons,thousands,v116319011,7550.0,
1.1.1.3.2,Canada,"Total, 15 years and over",Both sexes,Satisfied,Percentage of persons,Percent,units ,v116319012,49.8,
1.1.1.3.3,Canada,"Total, 15 years and over",Both sexes,Satisfied,"Low 95% confidence interval, percent",Percent,units ,v116319013,48.4,
1.1.1.3.4,Canada,"Total, 15 years and over",Both sexes,Satisfied,"High 95% confidence interval, percent",Percent,units ,v116319014,51.2,
1.1.1.4.1,Canada,"Total, 15 years and over",Both sexes,Neither satisfied nor dissatisfied,Number of persons,Persons,thousands,v116319015,1411.0,
1.1.1.4.2,Canada,"Total, 15 years and over",Both sexes,Neither satisfied nor dissatisfied,Percentage of persons,Percent,units ,v116319016,9.3,
1.1.1.4.3,Canada,"Total, 15 years and over",Both sexes,Neither satisfied nor dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116319017,8.4,
1.1.1.4.4,Canada,"Total, 15 years and over",Both sexes,Neither satisfied nor dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116319018,10.2,
1.1.1.9.1,Canada,"Total, 15 years and over",Both sexes,Dissatisfied or very dissatisfied,Number of persons,Persons,thousands,v116747329,872.0,
1.1.1.9.2,Canada,"Total, 15 years and over",Both sexes,Dissatisfied or very dissatisfied,Percentage of persons,Percent,units ,v116747330,5.8,
1.1.1.9.3,Canada,"Total, 15 years and over",Both sexes,Dissatisfied or very dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116747331,5.1,
1.1.1.9.4,Canada,"Total, 15 years and over",Both sexes,Dissatisfied or very dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116747332,6.4,
1.1.1.5.1,Canada,"Total, 15 years and over",Both sexes,Dissatisfied,Number of persons,Persons,thousands,v116319019,664.0,
1.1.1.5.2,Canada,"Total, 15 years and over",Both sexes,Dissatisfied,Percentage of persons,Percent,units ,v116319020,4.4,
1.1.1.5.3,Canada,"Total, 15 years and over",Both sexes,Dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116319021,3.8,
1.1.1.5.4,Canada,"Total, 15 years and over",Both sexes,Dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116319022,5.0,
1.1.1.6.1,Canada,"Total, 15 years and over",Both sexes,Very dissatisfied,Number of persons,Persons,thousands,v116319023,208.0,
1.1.1.6.2,Canada,"Total, 15 years and over",Both sexes,Very dissatisfied,Percentage of persons,Percent,units ,v116319024,1.4,
1.1.1.6.3,Canada,"Total, 15 years and over",Both sexes,Very dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116319025,1.1,
1.1.1.6.4,Canada,"Total, 15 years and over",Both sexes,Very dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116319026,1.7,
